VALUE,COUNT,US_200EVT,PADUS_GAP_RESAMP,ECOREGION_RASTER,EVT_NAME,EVT_PHYS,ECO_NAME
2450,1047,7192,2,17049,Recently Logged-Shrub Cover,Shrubland,West Cascades
2451,209,7191,1,17031,Recently Logged-Herb and Grass Cover,Grassland,East Cascades - Modoc Plateau
2452,4,7198,1,17031,Recently Disturbed Other-Herb and Grass Cover,Grassland,East Cascades - Modoc Plateau
2453,225,9504,1,17092,Columbia Basin Foothill Riparian Herbaceous,Riparian,Columbia Plateau
2454,4480,7297,4,17072,Developed-Medium Intensity,Developed-Medium Intensity,Northern Great Plains Steppe
2455,8269,7063,1,17049,North Pacific Broadleaf Landslide Forest,Hardwood,West Cascades
2456,161372,7039,1,17049,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,West Cascades
2457,877189,7037,1,17049,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,West Cascades
2458,1525,7178,1,17049,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,West Cascades
2459,766436,7126,4,17072,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,Northern Great Plains Steppe
2460,75,7140,4,17072,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,Northern Great Plains Steppe
2461,11006,9272,3,17049,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,West Cascades
2462,104,7055,4,17031,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2463,1185935,7042,1,17049,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,West Cascades
2464,1184976,7174,1,17049,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,West Cascades
2465,79735,7049,4,17072,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,Northern Great Plains Steppe
2466,307,7195,4,17041,Recently Burned-Herb and Grass Cover,Grassland,Pacific Northwest Coast
2467,728,7145,4,17072,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,Northern Great Plains Steppe
2468,31,7196,4,17041,Recently Burned-Shrub Cover,Shrubland,Pacific Northwest Coast
2469,38714,7156,1,17049,North Pacific Lowland Riparian Forest,Riparian,West Cascades
2470,16750,9186,2,17016,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,Northern Appalachian / Acadian
2471,1690,9170,1,17049,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,West Cascades
2472,5,7036,1,17049,North Pacific Seasonal Sitka Spruce Forest,Conifer,West Cascades
2473,138617,7158,1,17049,North Pacific Montane Riparian Woodland,Riparian,West Cascades
2474,49,7038,4,17031,North Pacific Maritime Mesic Subalpine Parkland,Conifer,East Cascades - Modoc Plateau
2475,117,7963,3,17072,Western Cool Temperate Row Crop - Close Grown Crop,Agricultural,Northern Great Plains Steppe
2476,1359706,7374,2,17016,Acadian-Appalachian Montane Spruce-Fir Forest,Conifer-Hardwood,Northern Appalachian / Acadian
2477,662,9318,2,17016,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Northern Appalachian / Acadian
2478,8086,7901,1,17049,Western Cool Temperate Urban Evergreen Forest,Developed,West Cascades
2479,1946,7296,1,17049,Developed-Low Intensity,Developed-Low Intensity,West Cascades
2480,3358,7171,2,17049,North Pacific Alpine and Subalpine Dry Grassland,Grassland,West Cascades
2481,93819,7292,1,17049,Open Water,Open Water,West Cascades
2482,4051,7964,4,17031,Western Cool Temperate Row Crop,Agricultural,East Cascades - Modoc Plateau
2483,49,-9999,4,17072, , ,Northern Great Plains Steppe
2484,1925,7662,1,17049,Temperate Pacific Freshwater Emergent Marsh,Riparian,West Cascades
2485,8,9327,4,17031,Interior West Ruderal Riparian Forest,Riparian,East Cascades - Modoc Plateau
2486,5880,7083,3,17049,North Pacific Avalanche Chute Shrubland,Shrubland,West Cascades
2487,716,7039,2,17031,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,East Cascades - Modoc Plateau
2488,29361,7239,2,17016,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Northern Appalachian / Acadian
2489,261,9012,4,17072,Northern Rocky Mountain Lower Montane Riparian Woodland,Riparian,Northern Great Plains Steppe
2490,1769,7298,3,17049,Developed-High Intensity,Developed-High Intensity,West Cascades
2491,2597,7921,3,17092,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed,Columbia Plateau
2492,305889,9015,4,17072,Northwestern Great Plains Riparian Forest,Riparian,Northern Great Plains Steppe
2493,1,7200,1,17031,Recently Disturbed Other-Tree Cover,Conifer,East Cascades - Modoc Plateau
2494,272,9170,2,17031,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,East Cascades - Modoc Plateau
2495,154096,9515,4,17072,Northwestern Great Plains Riparian Shrubland,Riparian,Northern Great Plains Steppe
2496,608,9272,4,17049,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,West Cascades
2497,72,7083,4,17049,North Pacific Avalanche Chute Shrubland,Shrubland,West Cascades
2498,488,7954,2,17016,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Northern Appalachian / Acadian
2499,77,7297,1,17092,Developed-Medium Intensity,Developed-Medium Intensity,Columbia Plateau
2500,63,7297,3,17071,Developed-Medium Intensity,Developed-Medium Intensity,Fescue-Mixed Grass Prairie
2501,26396,7056,2,17049,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,West Cascades
2502,41742,7056,3,17049,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,West Cascades
2503,121,7482,4,17071,Great Plains Prairie Pothole,Riparian,Fescue-Mixed Grass Prairie
2504,16569,9327,3,17092,Interior West Ruderal Riparian Forest,Riparian,Columbia Plateau
2505,612,7159,4,17049,North Pacific Montane Riparian Shrubland,Riparian,West Cascades
2506,36010,9018,3,17092,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated,Columbia Plateau
2507,326,7011,4,17071,Rocky Mountain Aspen Forest and Woodland,Hardwood,Fescue-Mixed Grass Prairie
2508,75,7198,2,17049,Recently Disturbed Other-Herb and Grass Cover,Grassland,West Cascades
2509,3719,7106,4,17071,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,Fescue-Mixed Grass Prairie
2510,38,9328,4,17071,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,Fescue-Mixed Grass Prairie
2511,5978,7966,1,17092,Western Cool Temperate Fallow/Idle Cropland,Agricultural,Columbia Plateau
2512,10229,7292,4,17071,Open Water,Open Water,Fescue-Mixed Grass Prairie
2513,11739,9327,4,17092,Interior West Ruderal Riparian Forest,Riparian,Columbia Plateau
2514,106,9023,4,17071,Western Great Plains Badlands,Sparsely Vegetated,Fescue-Mixed Grass Prairie
2515,2538,7085,4,17071,Northwestern Great Plains Shrubland,Shrubland,Fescue-Mixed Grass Prairie
2516,539,9027,4,17071,Western Great Plains Open Freshwater Depression Wetland,Riparian,Fescue-Mixed Grass Prairie
2517,1791,9326,3,17031,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,East Cascades - Modoc Plateau
2518,1389,7049,4,17071,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,Fescue-Mixed Grass Prairie
2519,993,7166,4,17071,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,Fescue-Mixed Grass Prairie
2520,10,7045,4,17071,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,Fescue-Mixed Grass Prairie
2521,58,9024,4,17071,Western Great Plains Cliff and Outcrop,Sparsely Vegetated,Fescue-Mixed Grass Prairie
2522,1237,7126,4,17071,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,Fescue-Mixed Grass Prairie
2523,160,7056,4,17031,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2524,442,7200,2,17049,Recently Disturbed Other-Tree Cover,Conifer,West Cascades
2525,199,7050,4,17071,Rocky Mountain Lodgepole Pine Forest,Conifer,Fescue-Mixed Grass Prairie
2526,184,7197,4,17030,Recently Burned-Tree Cover,Conifer,Canadian Rocky Mountains
2527,6400,7195,4,17030,Recently Burned-Herb and Grass Cover,Grassland,Canadian Rocky Mountains
2528,909,7120,4,17051,Willamette Valley Upland Prairie,Grassland,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
2529,976,7200,3,17092,Recently Disturbed Other-Tree Cover,Conifer,Columbia Plateau
2530,819,7035,3,17031,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2531,471,7944,3,17092,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Columbia Plateau
2532,7682,9012,3,17092,Northern Rocky Mountain Lower Montane Riparian Woodland,Riparian,Columbia Plateau
2533,2,7663,4,17041,North Pacific Shrub Swamp,Shrubland,Pacific Northwest Coast
2534,3084,7965,1,17092,Western Cool Temperate Close Grown Crop,Agricultural,Columbia Plateau
2535,1146,7120,1,17051,Willamette Valley Upland Prairie,Grassland,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
2536,18028,7070,2,17030,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,Canadian Rocky Mountains
2537,145,9015,4,17071,Northwestern Great Plains Riparian Forest,Riparian,Fescue-Mixed Grass Prairie
2538,6,7920,3,17031,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,East Cascades - Modoc Plateau
2539,1334,7056,4,17049,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,West Cascades
2540,2981,7171,3,17049,North Pacific Alpine and Subalpine Dry Grassland,Grassland,West Cascades
2541,7,7063,2,17031,North Pacific Broadleaf Landslide Forest,Hardwood,East Cascades - Modoc Plateau
2542,15077,7193,4,17031,Recently Logged-Tree Cover,Conifer,East Cascades - Modoc Plateau
2543,253014,9024,4,17072,Western Great Plains Cliff and Outcrop,Sparsely Vegetated,Northern Great Plains Steppe
2544,1728,7961,4,17092,Western Cool Temperate Vineyard,Agricultural,Columbia Plateau
2545,742,7070,3,17030,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,Canadian Rocky Mountains
2546,328,7120,2,17051,Willamette Valley Upland Prairie,Grassland,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
2547,1,7920,2,17031,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,East Cascades - Modoc Plateau
2548,18,7035,4,17031,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2549,6,9326,4,17031,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,East Cascades - Modoc Plateau
2550,7,7083,4,17031,North Pacific Avalanche Chute Shrubland,Shrubland,East Cascades - Modoc Plateau
2551,329,7035,2,17031,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2552,2594,7292,2,17071,Open Water,Open Water,Fescue-Mixed Grass Prairie
2553,1547,9326,2,17031,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,East Cascades - Modoc Plateau
2554,1124,9027,2,17071,Western Great Plains Open Freshwater Depression Wetland,Riparian,Fescue-Mixed Grass Prairie
2555,365360,7018,3,17049,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,West Cascades
2556,3465,9828,2,17071,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous,Fescue-Mixed Grass Prairie
2557,107,7120,3,17051,Willamette Valley Upland Prairie,Grassland,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
2558,3237,7011,4,17031,Rocky Mountain Aspen Forest and Woodland,Hardwood,East Cascades - Modoc Plateau
2559,1494,7942,3,17092,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Columbia Plateau
2560,35,7055,4,17049,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,West Cascades
2561,25734,7018,2,17049,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,West Cascades
2562,5831,7902,4,17072,Western Cool Temperate Urban Mixed Forest,Developed,Northern Great Plains Steppe
2563,185640,7195,3,17072,Recently Burned-Herb and Grass Cover,Grassland,Northern Great Plains Steppe
2564,11,7297,2,17071,Developed-Medium Intensity,Developed-Medium Intensity,Fescue-Mixed Grass Prairie
2565,8555,9015,2,17071,Northwestern Great Plains Riparian Forest,Riparian,Fescue-Mixed Grass Prairie
2566,451,7011,2,17071,Rocky Mountain Aspen Forest and Woodland,Hardwood,Fescue-Mixed Grass Prairie
2567,1519,9515,2,17071,Northwestern Great Plains Riparian Shrubland,Riparian,Fescue-Mixed Grass Prairie
2568,151,9029,2,17071,Western Great Plains Saline Depression Wetland,Riparian,Fescue-Mixed Grass Prairie
2569,2,7010,4,17031,Northern Rocky Mountain Western Larch Savanna,Conifer,East Cascades - Modoc Plateau
2570,351,9811,2,17041,North Pacific Maritime Coastal Sand Dune Ruderal Herb Vegetation,Exotic Herbaceous,Pacific Northwest Coast
2571,2874,7055,3,17049,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,West Cascades
2572,1,7295,4,17071,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Fescue-Mixed Grass Prairie
2573,110,7191,1,17049,Recently Logged-Herb and Grass Cover,Grassland,West Cascades
2574,315,7385,4,17071,Great Plains Wooded Draw and Ravine Woodland,Riparian,Fescue-Mixed Grass Prairie
2575,1394714,7041,1,17049,North Pacific Mountain Hemlock Forest,Conifer,West Cascades
2576,1249,7198,4,17031,Recently Disturbed Other-Herb and Grass Cover,Grassland,East Cascades - Modoc Plateau
2577,293,7193,1,17049,Recently Logged-Tree Cover,Conifer,West Cascades
2578,221314,7060,3,17031,East Cascades Ponderosa Pine Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2579,3021,7055,2,17049,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,West Cascades
2580,9356,7262,3,17031,East Cascades Oak Forest and Woodland,Hardwood,East Cascades - Modoc Plateau
2581,1978,7159,1,17049,North Pacific Montane Riparian Shrubland,Riparian,West Cascades
2582,12652,9272,1,17049,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,West Cascades
2583,10288,9826,1,17049,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,West Cascades
2584,328,7964,1,17092,Western Cool Temperate Row Crop,Agricultural,Columbia Plateau
2585,2,7966,4,17049,Western Cool Temperate Fallow/Idle Cropland,Agricultural,West Cascades
2586,183867,7733,1,17049,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated,West Cascades
2587,102734,7060,2,17031,East Cascades Ponderosa Pine Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2588,44,7050,4,17031,Rocky Mountain Lodgepole Pine Forest,Conifer,East Cascades - Modoc Plateau
2589,33745,7238,2,17016,Laurentian-Acadian Northern Oak Forest,Hardwood,Northern Appalachian / Acadian
2590,14566,7008,4,17049,North Pacific Oak Woodland,Hardwood,West Cascades
2591,78,7038,4,17049,North Pacific Maritime Mesic Subalpine Parkland,Conifer,West Cascades
2592,13124,7038,1,17049,North Pacific Maritime Mesic Subalpine Parkland,Conifer,West Cascades
2593,184831,7084,1,17049,North Pacific Montane Shrubland,Shrubland,West Cascades
2594,1001,7038,3,17049,North Pacific Maritime Mesic Subalpine Parkland,Conifer,West Cascades
2595,53904,7197,3,17049,Recently Burned-Tree Cover,Conifer,West Cascades
2596,39266,7196,3,17049,Recently Burned-Shrub Cover,Shrubland,West Cascades
2597,21700,7195,3,17049,Recently Burned-Herb and Grass Cover,Grassland,West Cascades
2598,10616,7083,1,17049,North Pacific Avalanche Chute Shrubland,Shrubland,West Cascades
2599,1297,7191,4,17072,Recently Logged-Herb and Grass Cover,Grassland,Northern Great Plains Steppe
2600,1217,7663,1,17049,North Pacific Shrub Swamp,Shrubland,West Cascades
2601,40928,9326,1,17049,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,West Cascades
2602,42481,7171,1,17049,North Pacific Alpine and Subalpine Dry Grassland,Grassland,West Cascades
2603,862,7157,1,17049,North Pacific Lowland Riparian Shrubland,Riparian,West Cascades
2604,235,7295,4,17031,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,East Cascades - Modoc Plateau
2605,7107,7035,1,17049,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,West Cascades
2606,37107,9057,1,17016,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Northern Appalachian / Acadian
2607,1662,9166,3,17049,North Pacific Herbaceous Bald and Bluff,Grassland,West Cascades
2608,278,7900,1,17049,Western Cool Temperate Urban Deciduous Forest,Developed,West Cascades
2609,157059,7056,1,17049,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,West Cascades
2610,390,9166,1,17049,North Pacific Herbaceous Bald and Bluff,Grassland,West Cascades
2611,3639,7901,4,17072,Western Cool Temperate Urban Evergreen Forest,Developed,Northern Great Plains Steppe
2612,10238,7924,4,17072,Western Cool Temperate Developed Ruderal Grassland,Developed,Northern Great Plains Steppe
2613,7421,7263,3,17031,East Cascades Oak-Ponderosa Pine Forest and Woodland,Conifer-Hardwood,East Cascades - Modoc Plateau
2614,111704,7241,1,17016,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Northern Appalachian / Acadian
2615,155962,7366,1,17016,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Northern Appalachian / Acadian
2616,163,7902,1,17049,Western Cool Temperate Urban Mixed Forest,Developed,West Cascades
2617,6245,7299,1,17049,Developed-Roads,Developed-Roads,West Cascades
2618,17,7165,4,17071,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,Fescue-Mixed Grass Prairie
2619,1200,7157,3,17049,North Pacific Lowland Riparian Shrubland,Riparian,West Cascades
2620,214,7199,4,17031,Recently Disturbed Other-Shrub Cover,Shrubland,East Cascades - Modoc Plateau
2621,19,7968,4,17071,Western Cool Temperate Wheat,Agricultural,Fescue-Mixed Grass Prairie
2622,110,9816,4,17071,Northern & Central Plains Ruderal & Planted Grassland,Exotic Herbaceous,Fescue-Mixed Grass Prairie
2623,37,7125,4,17071,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,Fescue-Mixed Grass Prairie
2624,46,7944,2,17049,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,West Cascades
2625,546,7904,1,17049,Western Cool Temperate Urban Shrubland,Developed,West Cascades
2626,23670,7055,1,17049,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,West Cascades
2627,43,7663,2,17031,North Pacific Shrub Swamp,Shrubland,East Cascades - Modoc Plateau
2628,488,7297,1,17049,Developed-Medium Intensity,Developed-Medium Intensity,West Cascades
2629,24652,7200,3,17049,Recently Disturbed Other-Tree Cover,Conifer,West Cascades
2630,44,7903,1,17049,Western Cool Temperate Urban Herbaceous,Developed,West Cascades
2631,70,7298,1,17049,Developed-High Intensity,Developed-High Intensity,West Cascades
2632,15075,7195,2,17072,Recently Burned-Herb and Grass Cover,Grassland,Northern Great Plains Steppe
2633,4,7148,4,17071,Western Great Plains Sand Prairie,Grassland,Fescue-Mixed Grass Prairie
2634,8,7192,2,17072,Recently Logged-Shrub Cover,Shrubland,Northern Great Plains Steppe
2635,2,7966,4,17071,Western Cool Temperate Fallow/Idle Cropland,Agricultural,Fescue-Mixed Grass Prairie
2636,36080,7018,1,17049,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,West Cascades
2637,98418,7196,1,17049,Recently Burned-Shrub Cover,Shrubland,West Cascades
2638,28950,7197,1,17049,Recently Burned-Tree Cover,Conifer,West Cascades
2639,30918,7195,1,17049,Recently Burned-Herb and Grass Cover,Grassland,West Cascades
2640,10180,7060,4,17031,East Cascades Ponderosa Pine Forest and Woodland,Conifer,East Cascades - Modoc Plateau
2641,6876,7924,2,17092,Western Cool Temperate Developed Ruderal Grassland,Developed,Columbia Plateau
2642,40295,9327,2,17092,Interior West Ruderal Riparian Forest,Riparian,Columbia Plateau
2643,61,9024,3,17030,Western Great Plains Cliff and Outcrop,Sparsely Vegetated,Canadian Rocky Mountains
2644,5886,9326,1,17031,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,East Cascades - Modoc Plateau
2645,104,7199,2,17092,Recently Disturbed Other-Shrub Cover,Shrubland,Columbia Plateau
2646,1213,7085,2,17030,Northwestern Great Plains Shrubland,Shrubland,Canadian Rocky Mountains
2647,123,7144,3,17030,Rocky Mountain Alpine Turf,Grassland,Canadian Rocky Mountains
2648,1676,9829,1,17092,Western North American Ruderal Wet Meadow & Marsh,Riparian,Columbia Plateau
2649,8492,7060,3,17092,East Cascades Ponderosa Pine Forest and Woodland,Conifer,Columbia Plateau
2650,219,7193,2,17092,Recently Logged-Tree Cover,Conifer,Columbia Plateau
2651,33123,7444,3,17023,Eastern Boreal Floodplain Woodland,Riparian,Superior Mixed Forest
2652,6846728,7481,3,17023,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Superior Mixed Forest
2653,384672,9117,3,17023,Laurentian-Acadian Floodplain Forest,Riparian,Superior Mixed Forest
2654,1248548,9120,3,17023,Laurentian-Acadian Wet Meadow,Riparian,Superior Mixed Forest
2655,7531933,9056,3,17023,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Superior Mixed Forest
2656,918002,9620,3,17023,Laurentian-Acadian Shrub Swamp,Riparian,Superior Mixed Forest
2657,96,7192,2,17092,Recently Logged-Shrub Cover,Shrubland,Columbia Plateau
2658,7333,7144,2,17030,Rocky Mountain Alpine Turf,Grassland,Canadian Rocky Mountains
2659,256829,9118,3,17023,Laurentian-Acadian Freshwater Marsh,Riparian,Superior Mixed Forest
2660,1414,7143,2,17030,Rocky Mountain Alpine Fell-Field,Grassland,Canadian Rocky Mountains
2661,33,7143,3,17030,Rocky Mountain Alpine Fell-Field,Grassland,Canadian Rocky Mountains
2662,689399,7292,3,17023,Open Water,Open Water,Superior Mixed Forest
2663,600586,9057,3,17023,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Superior Mixed Forest
2664,32831,7295,3,17092,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Columbia Plateau
2665,293286,7299,3,17023,Developed-Roads,Developed-Roads,Superior Mixed Forest
2666,2682547,7301,3,17023,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Superior Mixed Forest
2667,387945,7362,3,17023,Laurentian-Acadian Northern Pine Forest,Conifer,Superior Mixed Forest
2668,266439,9817,3,17023,Northern & Central Ruderal Meadow,Exotic Herbaceous,Superior Mixed Forest
2669,23,7942,1,17049,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,West Cascades
2670,66786,7407,3,17023,Laurentian Pine Barrens,Conifer,Superior Mixed Forest
2671,9036576,7302,3,17023,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Superior Mixed Forest
2672,315454,7734,1,17049,North Pacific Alpine and Subalpine Bedrock and Scree,Sparsely Vegetated,West Cascades
2673,321462,9088,3,17023,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Superior Mixed Forest
2674,2713970,9089,3,17023,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Superior Mixed Forest
2675,318,7069,1,17049,North Pacific Dry and Mesic Alpine Fell-field or Meadow,Grassland,West Cascades
2676,23597,7068,1,17049,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland,West Cascades
2677,25775,7975,3,17023,Eastern Cool Temperate Close Grown Crop,Agricultural,Superior Mixed Forest
2678,219843,9114,3,17023,Laurentian-Acadian Alkaline Fen,Riparian,Superior Mixed Forest
2679,167248,7735,1,17049,North American Glacier and Ice Field,Snow-Ice,West Cascades
2680,62,7960,1,17049,Western Cool Temperate Orchard,Agricultural,West Cascades
2681,80873,9117,4,17023,Laurentian-Acadian Floodplain Forest,Riparian,Superior Mixed Forest
2682,1364634,7481,4,17023,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Superior Mixed Forest
2683,1590677,9112,3,17023,Laurentian Jack Pine-Red Pine Forest,Conifer,Superior Mixed Forest
2684,3455,7444,4,17023,Eastern Boreal Floodplain Woodland,Riparian,Superior Mixed Forest
2685,151885,7301,4,17023,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Superior Mixed Forest
2686,217,-9999,3,17023, , ,Superior Mixed Forest
2687,71,7192,1,17049,Recently Logged-Shrub Cover,Shrubland,West Cascades
2688,9224,9088,4,17023,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Superior Mixed Forest
2689,2552498,7302,4,17023,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Superior Mixed Forest
2690,1798,7068,2,17049,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland,West Cascades
2691,4364,9314,4,17023,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Superior Mixed Forest
2692,109796,9317,3,17023,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Superior Mixed Forest
2693,1639,7262,2,17031,East Cascades Oak Forest and Woodland,Hardwood,East Cascades - Modoc Plateau
2694,42113,7974,3,17023,Eastern Cool Temperate Row Crop,Agricultural,Superior Mixed Forest
2695,2644,7933,3,17023,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,Superior Mixed Forest
2696,42142,9617,3,17023,Laurentian-Acadian Floodplain Shrubland,Riparian,Superior Mixed Forest
2697,17385,7909,4,17023,Eastern Cool Temperate Urban Shrubland,Developed,Superior Mixed Forest
2698,840023,9056,4,17023,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Superior Mixed Forest
2699,23406,7908,4,17023,Eastern Cool Temperate Urban Herbaceous,Developed,Superior Mixed Forest
2700,234761,9120,4,17023,Laurentian-Acadian Wet Meadow,Riparian,Superior Mixed Forest
2701,21601,9315,4,17023,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Superior Mixed Forest
2702,119104,9620,4,17023,Laurentian-Acadian Shrub Swamp,Riparian,Superior Mixed Forest
2703,13,7960,2,17030,Western Cool Temperate Orchard,Agricultural,Canadian Rocky Mountains
2704,117119,7907,3,17023,Eastern Cool Temperate Urban Mixed Forest,Developed,Superior Mixed Forest
2705,84299,7906,3,17023,Eastern Cool Temperate Urban Evergreen Forest,Developed,Superior Mixed Forest
2706,108999,7905,3,17023,Eastern Cool Temperate Urban Deciduous Forest,Developed,Superior Mixed Forest
2707,32180,7907,4,17023,Eastern Cool Temperate Urban Mixed Forest,Developed,Superior Mixed Forest
2708,35894,7905,4,17023,Eastern Cool Temperate Urban Deciduous Forest,Developed,Superior Mixed Forest
2709,130645,7299,4,17023,Developed-Roads,Developed-Roads,Superior Mixed Forest
2710,895,7954,3,17023,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Superior Mixed Forest
2711,143807,9089,4,17023,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Superior Mixed Forest
2712,2533897,7292,4,17023,Open Water,Open Water,Superior Mixed Forest
